iter	Passed	Remaining
0	379	379010
1	666	332760
2	985	327675
3	1205	300116
4	1403	279200
5	1668	276400
6	1900	269636
7	2140	265366
8	2397	263939
9	2589	256370
10	2833	254784
11	3108	255927
12	3397	257915
13	3646	256836
14	3856	253232
15	4084	251182
16	4307	249093
17	4538	247576
18	4734	244429
19	4978	243941
20	5147	239987
21	5353	237977
22	5589	237439
23	5824	236843
24	6082	237232
25	6252	234226
26	6431	231787
27	6594	228938
28	6761	226401
29	6979	225665
30	7153	223615
31	7341	222091
32	7536	220837
33	7731	219676
34	7967	219682
35	8147	218162
36	8391	218412
37	8551	216487
38	8711	214650
39	8880	213126
40	9085	212505
41	9275	211566
42	9446	210245
43	9648	209643
44	9874	209553
45	10086	209176
46	10279	208437
47	10455	207361
48	10701	207703
49	10860	206345
50	11036	205360
51	11231	204767
52	11418	204020
53	11636	203849
54	11856	203718
55	12050	203139
56	12213	202057
57	12433	201939
58	12639	201592
59	12813	200745
60	12972	199690
61	13159	199092
62	13337	198363
63	13537	197980
64	13752	197818
65	13920	196997
66	14140	196916
67	14351	196706
68	14508	195754
69	14683	195085
70	14873	194614
71	15067	194204
72	15313	194458
73	15470	193595
74	15649	193005
75	15820	192343
76	16014	191961
77	16149	190900
78	16360	190739
79	16523	190022
80	16697	189446
81	16862	188774
82	17086	188776
83	17240	188006
84	17419	187521
85	17597	187026
86	17789	186687
87	17937	185894
88	18095	185228
89	18250	184534
90	18407	183874
91	18574	183323
92	18767	183031
93	18964	182782
94	19188	182797
95	19417	182847
96	19601	182476
97	19812	182351
98	20010	182115
99	20177	181598
100	20381	181414
101	20572	181116
102	20721	180455
103	20935	180368
104	21085	179732
105	21282	179495
106	21429	178844
107	21601	178408
108	21793	178144
109	21980	177840
110	22160	177484
111	22361	177295
112	22536	176901
113	22724	176612
114	22860	175929
115	23078	175871
116	23258	175534
117	23490	175580
118	23661	175175
119	23840	174826
120	24034	174599
121	24254	174549
122	24430	174194
123	24621	173941
124	24800	173606
125	24992	173363
126	25167	173000
127	25363	172787
128	25592	172801
129	25793	172616
130	26016	172580
131	26201	172293
132	26379	171964
133	26567	171694
134	26722	171219
135	26908	170946
136	27118	170826
137	27291	170471
138	27468	170149
139	27759	170520
140	27939	170210
141	28106	169824
142	28263	169384
143	28438	169049
144	28662	169012
145	28882	168941
146	29091	168812
147	29266	168481
148	29436	168121
149	29627	167889
150	29834	167744
151	30026	167518
152	30223	167313
153	30447	167262
154	30589	166760
155	30771	166479
156	30963	166256
157	31168	166102
158	31346	165803
159	31514	165451
160	31694	165167
161	31870	164860
162	32017	164410
163	32230	164299
164	32422	164079
165	32634	163960
166	32814	163679
167	33002	163439
168	33195	163225
169	33427	163206
170	33622	162998
171	33817	162796
172	33998	162525
173	34193	162319
174	34372	162043
175	34590	161947
176	34801	161816
177	34978	161528
178	35204	161470
179	35392	161234
180	35567	160936
181	35723	160560
182	35881	160193
183	36045	159852
184	36227	159594
185	36420	159388
186	36650	159341
187	36821	159037
188	36968	158633
189	37190	158548
190	37342	158169
191	37623	158332
192	37809	158093
193	38000	157876
194	38206	157724
195	38396	157505
196	38549	157133
197	38716	156819
198	38898	156569
199	39091	156367
200	39270	156105
201	39452	155858
202	39652	155681
203	39833	155428
204	40019	155198
205	40208	154976
206	40390	154730
207	40566	154465
208	40782	154347
209	40995	154221
210	41243	154222
211	41444	154049
212	41641	153857
213	41814	153579
214	42006	153371
215	42206	153192
216	42390	152956
217	42589	152773
218	42772	152534
219	42962	152323
220	43148	152094
221	43338	151880
222	43493	151544
223	43636	151170
224	43800	150867
225	43982	150630
226	44170	150412
227	44356	150189
228	44572	150068
229	44776	149904
230	44956	149658
231	45119	149360
232	45290	149090
233	45509	148976
234	45688	148730
235	45866	148481
236	46124	148493
237	46300	148240
238	46495	148046
239	46682	147828
240	46881	147646
241	47095	147514
242	47269	147254
243	47435	146973
244	47586	146643
245	47764	146400
246	47935	146135
247	48106	145870
248	48319	145735
249	48519	145558
250	48702	145331
251	48898	145143
252	49086	144931
253	49270	144707
254	49448	144466
255	49627	144229
256	49786	143936
257	49977	143733
258	50155	143494
259	50352	143311
260	50520	143045
261	50710	142842
262	50862	142531
263	51045	142308
264	51232	142097
265	51416	141877
266	51638	141765
267	51765	141388
268	51931	141122
269	52145	140986
270	52313	140725
271	52482	140467
272	52684	140297
273	52858	140055
274	53067	139905
275	53236	139648
276	53398	139375
277	53588	139175
278	53779	138977
279	53970	138781
280	54165	138593
281	54382	138462
282	54546	138198
283	54717	137949
284	54925	137796
285	55141	137661
286	55284	137344
287	55498	137205
288	55689	137008
289	55856	136752
290	56046	136553
291	56241	136366
292	56437	136181
293	56615	135954
294	56810	135768
295	57004	135579
296	57178	135340
297	57408	135237
298	57581	134997
299	57727	134698
300	57880	134412
301	58024	134109
302	58194	133866
303	58349	133588
304	58517	133343
305	58728	133195
306	58930	133026
307	59083	132746
308	59264	132530
309	59429	132278
310	59607	132055
311	59815	131901
312	60052	131809
313	60228	131580
314	60368	131278
315	60533	131028
316	60726	130838
317	60866	130538
318	61047	130323
319	61221	130096
320	61427	129935
321	61589	129682
322	61738	129402
323	61929	129210
324	62084	128944
325	62269	128741
326	62449	128527
327	62646	128349
328	62795	128073
329	63011	127932
330	63164	127665
331	63344	127452
332	63489	127169
333	63693	127006
334	63900	126846
335	64128	126729
336	64289	126479
337	64449	126229
338	64642	126042
339	64821	125829
340	64981	125579
341	65153	125354
342	65328	125134
343	65482	124873
344	65640	124621
345	65771	124319
346	65986	124175
347	66185	124003
348	66380	123822
349	66570	123631
350	66753	123428
351	66946	123241
352	67147	123071
353	67319	122849
354	67545	122723
355	67733	122528
356	67932	122354
357	68110	122143
358	68321	121988
359	68521	121815
360	68712	121626
361	68896	121425
362	69099	121257
363	69320	121120
364	69503	120917
365	69679	120702
366	69872	120515
367	70057	120316
368	70257	120141
369	70475	119999
370	70687	119844
371	70875	119650
372	71070	119467
373	71258	119271
374	71447	119078
375	71657	118920
376	71806	118660
377	71975	118435
378	72146	118213
379	72306	117973
380	72463	117729
381	72655	117542
382	72815	117303
383	73020	117136
384	73172	116886
385	73335	116652
386	73520	116455
387	73726	116290
388	73888	116056
389	74056	115832
390	74220	115601
391	74367	115344
392	74543	115134
393	74730	114940
394	74884	114696
395	75069	114499
396	75237	114278
397	75420	114077
398	75621	113905
399	75778	113667
400	75976	113490
401	76161	113294
402	76329	113073
403	76522	112890
404	76717	112708
405	76903	112514
406	77117	112360
407	77332	112208
408	77518	112013
409	77693	111802
410	77903	111643
411	78067	111417
412	78296	111284
413	78509	111126
414	78700	110939
415	78886	110744
416	79051	110519
417	79223	110305
418	79416	110121
419	79603	109928
420	79785	109728
421	79967	109529
422	80199	109397
423	80341	109143
424	80518	108936
425	80710	108750
426	80923	108592
427	81114	108404
428	81293	108201
429	81500	108035
430	81667	107816
431	81862	107634
432	82058	107452
433	82215	107221
434	82403	107029
435	82588	106834
436	82787	106657
437	82978	106470
438	83163	106275
439	83320	106044
440	83500	105843
441	83649	105603
442	83849	105426
443	84037	105235
444	84208	105024
445	84393	104830
446	84556	104608
447	84751	104425
448	84925	104217
449	85066	103969
450	85225	103744
451	85422	103565
452	85625	103392
453	85797	103183
454	85986	102994
455	86139	102763
456	86321	102566
457	86462	102320
458	86635	102112
459	86834	101936
460	87020	101744
461	87208	101554
462	87410	101380
463	87603	101196
464	87792	101008
465	87965	100801
466	88169	100630
467	88370	100455
468	88572	100281
469	88773	100106
470	88957	99911
471	89097	99667
472	89262	99453
473	89478	99294
474	89668	99107
475	89826	98884
476	90015	98696
477	90228	98533
478	90393	98319
479	90623	98174
480	90771	97942
481	90916	97707
482	91085	97497
483	91261	97295
484	91443	97100
485	91604	96882
486	91765	96664
487	91914	96435
488	92080	96222
489	92240	96005
490	92413	95801
491	92587	95598
492	92762	95397
493	92951	95209
494	93137	95018
495	93276	94781
496	93450	94578
497	93657	94410
498	93811	94187
499	94021	94021
500	94211	93835
501	94414	93662
502	94629	93501
503	94831	93326
504	95061	93179
505	95292	93032
506	95472	92836
507	95698	92684
508	95905	92513
509	96124	92355
510	96343	92195
511	96536	92011
512	96725	91822
513	96916	91637
514	97092	91436
515	97281	91248
516	97453	91044
517	97598	90815
518	97741	90585
519	97905	90374
520	98056	90151
521	98217	89938
522	98530	89864
523	98679	89640
524	98862	89446
525	99006	89219
526	99160	88999
527	99373	88833
528	99542	88628
529	99735	88444
530	99878	88216
531	100023	87991
532	100231	87819
533	100336	87559
534	100522	87369
535	100729	87198
536	100904	86999
537	101080	86801
538	101257	86604
539	101504	86467
540	101679	86267
541	101851	86066
542	102042	85881
543	102318	85766
544	102488	85563
545	102669	85370
546	102818	85149
547	102969	84930
548	103194	84773
549	103426	84621
550	103644	84458
551	103821	84260
552	103981	84050
553	104150	83847
554	104313	83638
555	104468	83424
556	104715	83283
557	104868	83068
558	105061	82884
559	105244	82692
560	105396	82475
561	105574	82280
562	105765	82094
563	105980	81928
564	106156	81730
565	106353	81550
566	106570	81384
567	106801	81229
568	107003	81051
569	107190	80863
570	107404	80694
571	107583	80499
572	107753	80297
573	107946	80113
574	108110	79908
575	108281	79706
576	108502	79543
577	108657	79330
578	108875	79165
579	109049	78966
580	109240	78780
581	109424	78589
582	109657	78434
583	109858	78255
584	110034	78058
585	110239	77882
586	110439	77702
587	110618	77508
588	110844	77346
589	111019	77148
590	111252	76991
591	111397	76774
592	111542	76556
593	111709	76353
594	111935	76191
595	112144	76017
596	112311	75814
597	112496	75624
598	112693	75442
599	112910	75273
600	113099	75085
601	113272	74887
602	113453	74695
603	113662	74520
604	113838	74324
605	114030	74138
606	114214	73947
607	114392	73752
608	114581	73565
609	114731	73352
610	114898	73151
611	115099	72971
612	115276	72776
613	115459	72585
614	115645	72395
615	115848	72217
616	116040	72031
617	116250	71856
618	116454	71679
619	116615	71473
620	116787	71275
621	116996	71100
622	117218	70933
623	117452	70772
624	117659	70595
625	117832	70398
626	117953	70170
627	118174	70001
628	118359	69811
629	118534	69615
630	118791	69467
631	118959	69267
632	119122	69064
633	119266	68850
634	119430	68648
635	119644	68475
636	119835	68289
637	119981	68077
638	120150	67878
639	120352	67698
640	120561	67522
641	120753	67335
642	120935	67144
643	121124	66957
644	121308	66766
645	121510	66586
646	121702	66400
647	121881	66207
648	122098	66034
649	122325	65867
650	122489	65666
651	122637	65456
652	122806	65258
653	122997	65072
654	123199	64891
655	123395	64707
656	123572	64513
657	123747	64318
658	123943	64134
659	124105	63932
660	124307	63752
661	124461	63546
662	124637	63352
663	124837	63170
664	125021	62980
665	125180	62778
666	125387	62599
667	125554	62401
668	125710	62197
669	125902	62011
670	126070	61814
671	126231	61612
672	126457	61443
673	126664	61264
674	126854	61078
675	127001	60870
676	127159	60668
677	127381	60496
678	127549	60299
679	127683	60086
680	127896	59910
681	128079	59720
682	128231	59516
683	128460	59347
684	128662	59166
685	128871	58987
686	129073	58806
687	129220	58599
688	129379	58399
689	129565	58210
690	129719	58007
691	129889	57812
692	130090	57630
693	130346	57472
694	130545	57289
695	130646	57063
696	130840	56878
697	131047	56699
698	131231	56510
699	131396	56312
700	131601	56132
701	131794	55946
702	131952	55746
703	132156	55565
704	132352	55381
705	132533	55190
706	132750	55015
707	132919	54819
708	133102	54630
709	133320	54454
710	133511	54268
711	133737	54095
712	133947	53917
713	134147	53734
714	134314	53537
715	134461	53333
716	134711	53170
717	134947	53001
718	135133	52813
719	135313	52621
720	135494	52431
721	135639	52226
722	135840	52044
723	135970	51833
724	136146	51641
725	136321	51449
726	136502	51258
727	136673	51064
728	136837	50868
729	137033	50683
730	137208	50491
731	137376	50296
732	137605	50123
733	137835	49951
734	138038	49768
735	138220	49579
736	138393	49386
737	138564	49192
738	138729	48996
739	138911	48806
740	139074	48610
741	139251	48418
742	139468	48241
743	139618	48040
